File: bi1   18.02.20  02:54:24
Comment: bi1
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000         429.030                   0.000         600.000            
       0.005         423.360                   0.005         592.800            
       0.010         419.580                   0.010         590.400            
       0.015         427.140                   0.015         578.400            
       0.020         423.360                   0.020         573.600            
       0.025         427.140                   0.025         571.200            
       0.030         427.140                   0.030         556.800            
       0.035         427.140                   0.035         559.200            
       0.040         430.920                   0.040         556.800            
       0.045         438.480                   0.045         542.400            
       0.050         442.260                   0.050         544.800            
       0.055         446.040                   0.055         540.000            
       0.060         453.600                   0.060         540.000            
       0.065         457.380                   0.065         528.000            
       0.070         472.500                   0.070         528.000            
       0.075         487.050                   0.075         530.400            
       0.080         489.600                   0.080         525.980            
       0.085         502.350                   0.085         528.190            
       0.090         510.000                   0.090         534.820            
       0.095         522.750                   0.095         528.190            
       0.100         530.400                   0.100         523.770            
       0.105         545.700                   0.105         525.980            
       0.110         555.900                   0.110         525.980            
       0.115         568.650                   0.115         530.400            
       0.120         578.850                   0.120         534.820            
       0.125         589.050                   0.125         539.240            
       0.130         601.800                   0.130         541.450            
       0.135         606.900                   0.135         541.450            
       0.140         619.650                   0.140         548.080            
       0.145         637.500                   0.145         552.500            
       0.150         644.960                   0.150         572.500            
       0.155         656.080                   0.155         556.470            
       0.160         667.200                   0.160         563.340            
       0.165         675.540                   0.165         558.760            
       0.170         683.880                   0.170         561.050            
       0.175         692.220                   0.175         558.760            
       0.180         695.000                   0.180         558.760            
       0.185         692.220                   0.185         551.890            
       0.190         695.000                   0.190         551.890            
       0.195         695.000                   0.195         540.440            
       0.200         686.660                   0.200         533.570            
       0.205         689.440                   0.205         526.700            
       0.210         675.540                   0.210         522.120            
       0.215         672.760                   0.215         506.090            
       0.220         658.860                   0.220         496.930            
       0.225         662.500                   0.225         500.000            
       0.230         641.300                   0.230         484.000            
       0.235         633.350                   0.235         472.000            
       0.240         633.350                   0.240         470.000            
       0.245         620.100                   0.245         450.000            
       0.250         617.450                   0.250         440.000            
       0.255         614.800                   0.255         426.000            
       0.260         612.150                   0.260         412.000            
       0.265         604.200                   0.265         406.000            
       0.270         598.900                   0.270         392.000            
       0.275         593.600                   0.275         390.000            
       0.280         596.250                   0.280         384.000            
       0.285         593.600                   0.285         372.000            
       0.290         588.300                   0.290         364.000            
       0.295         596.250                   0.295         362.000            
       0.300         597.740                   0.300         358.600            
       0.305         583.220                   0.305         353.710            
       0.310         585.640                   0.310         352.080            
       0.315         588.060                   0.315         352.080            
       0.320         585.640                   0.320         352.080            
       0.325         592.900                   0.325         348.820            
       0.330         590.480                   0.330         348.820            
       0.335         588.060                   0.335         348.820            
       0.340         590.480                   0.340         356.970            
       0.345         590.480                   0.345         361.860            
       0.350         595.320                   0.350         366.750            
       0.355         605.000                   0.355         376.530            
       0.360         592.900                   0.360         384.680            
