File: run   12.05.20  04:18:51
Comment: run
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000         432.400                   0.000         520.000            
       0.005         434.280                   0.005         511.680            
       0.010         432.400                   0.010         509.600            
       0.015         439.920                   0.015         503.360            
       0.020         441.800                   0.020         503.360            
       0.025         443.680                   0.025         501.280            
       0.030         443.680                   0.030         501.280            
       0.035         449.320                   0.035         503.360            
       0.040         456.840                   0.040         499.200            
       0.045         451.200                   0.045         492.960            
       0.050         458.720                   0.050         492.960            
       0.055         462.480                   0.055         486.720            
       0.060         464.360                   0.060         492.960            
       0.065         462.480                   0.065         480.480            
       0.070         470.000                   0.070         476.320            
       0.075         473.220                   0.075         477.500            
       0.080         469.260                   0.080         469.860            
       0.085         477.180                   0.085         469.860            
       0.090         481.140                   0.090         466.040            
       0.095         481.140                   0.095         458.400            
       0.100         483.120                   0.100         450.760            
       0.105         479.160                   0.105         448.850            
       0.110         483.120                   0.110         446.940            
       0.115         481.140                   0.115         456.490            
       0.120         489.060                   0.120         446.940            
       0.125         489.060                   0.125         448.850            
       0.130         487.080                   0.130         450.760            
       0.135         491.040                   0.135         443.120            
       0.140         489.060                   0.140         443.120            
       0.145         495.000                   0.145         448.850            
       0.150         503.360                   0.150         452.500            
       0.155         497.120                   0.155         439.830            
       0.160         492.960                   0.160         436.210            
       0.165         497.120                   0.165         441.640            
       0.170         497.120                   0.170         430.780            
       0.175         501.280                   0.175         428.970            
       0.180         501.280                   0.180         428.970            
       0.185         503.360                   0.185         427.160            
       0.190         501.280                   0.190         419.920            
       0.195         503.360                   0.195         414.490            
       0.200         509.600                   0.200         407.250            
       0.205         509.600                   0.205         401.820            
       0.210         511.680                   0.210         398.200            
       0.215         520.000                   0.215         401.820            
       0.220         520.000                   0.220         394.580            
       0.225         524.320                   0.225         398.520            
       0.230         524.320                   0.230         388.800            
       0.235         528.840                   0.235         393.660            
       0.240         528.840                   0.240         393.660            
       0.245         531.100                   0.245         401.760            
       0.250         537.880                   0.250         398.520            
       0.255         535.620                   0.255         405.000            
       0.260         544.660                   0.260         401.760            
       0.265         544.660                   0.265         398.520            
       0.270         546.920                   0.270         401.760            
       0.275         549.180                   0.275         396.900            
       0.280         551.440                   0.280         405.000            
       0.285         553.700                   0.285         398.520            
       0.290         555.960                   0.290         393.660            
       0.295         565.000                   0.295         392.040            
       0.300         578.100                   0.300         390.000            
       0.305         573.180                   0.305         379.080            
       0.310         580.560                   0.310         375.960            
       0.315         580.560                   0.315         371.280            
       0.320         590.400                   0.320         369.720            
       0.325         590.400                   0.325         369.720            
       0.330         597.780                   0.330         374.400            
       0.335         597.780                   0.335         371.280            
       0.340         605.160                   0.340         375.960            
       0.345         602.700                   0.345         379.080            
       0.350         607.620                   0.350         383.760            
       0.355         605.160                   0.355         390.000            
       0.360         607.620                   0.360         382.200            
       0.365         610.080                   0.365         390.000            
       0.370         615.000                   0.370         386.880            
       0.375         618.570                   0.375         392.500            
       0.380         621.180                   0.380         381.510            
       0.385         613.350                   0.385         386.220            
       0.390         618.570                   0.390         386.220            
       0.395         623.790                   0.395         389.360            
       0.400         621.180                   0.400         384.650            
       0.405         626.400                   0.405         384.650            
       0.410         629.010                   0.410         381.510            
       0.415         631.620                   0.415         379.940            
       0.420         636.840                   0.420         372.090            
       0.425         636.840                   0.425         368.950            
       0.430         647.280                   0.430         368.950            
       0.435         644.670                   0.435         367.380            
       0.440         652.500                   0.440         368.950            
       0.445         649.890                   0.445         367.380            
       0.450         664.430                   0.450         371.950            
       0.455         659.050                   0.455         377.140            
       0.460         664.430                   0.460         378.870            
       0.465         664.430                   0.465         384.060            
       0.470         664.430                   0.470         389.250            
       0.475         672.500                   0.475         390.980            
       0.480         664.430                   0.480         396.170            
       0.485         661.740                   0.485         404.820            
       0.490         661.740                   0.490         408.280            
       0.495         656.360                   0.495         411.740            
       0.500         653.670                   0.500         416.930            
       0.505         650.980                   0.505         422.120            
       0.510         642.910                   0.510         429.040            
       0.515         634.840                   0.515         432.500            
       0.520         626.770                   0.520         432.500            
       0.525         625.000                   0.525         445.200            
       0.530         610.000                   0.530         453.150            
       0.535         600.000                   0.535         463.750            
       0.540         580.000                   0.540         474.350            
       0.545         562.500                   0.545         490.250            
       0.550         545.000                   0.550         506.150            
       0.555         537.500                   0.555         519.400            
       0.560         510.000                   0.560         532.650            
       0.565         485.000                   0.565         553.850            
       0.570         465.000                   0.570         577.700            
       0.575         435.000                   0.575         588.300            
       0.580         412.500                   0.580         612.150            
       0.585         390.000                   0.585         622.750            
       0.590         357.500                   0.590         649.250            
       0.595         330.000                   0.595         662.500            
       0.600         310.000                   0.600         684.420            
       0.605         274.040                   0.605         699.060            
       0.610         249.240                   0.610         724.680            
       0.615         224.440                   0.615         739.320            
       0.620         197.160                   0.620         757.620            
       0.625         167.400                   0.625         783.240            
       0.630         141.360                   0.630         805.200            
       0.635         121.520                   0.635         816.180            
       0.640          99.200                   0.640         830.820            
       0.645          76.880                   0.645         849.120            
       0.650          59.520                   0.650         860.100            
       0.655          17.360                   0.655         874.740            
       0.660           7.440                   0.660         889.380            
       0.665           0.000                   0.665         904.020            
       0.670           0.000                   0.670         915.000            
       0.675           0.000                   0.675         926.100            
       0.680           0.000                   0.680         926.100            
       0.685           0.000                   0.685         929.880            
       0.690           5.000                   0.690         933.660            
       0.695           5.000                   0.695         945.000            
       0.700           0.000                   0.700         941.220            
       0.705           2.500                   0.705         937.440            
       0.710           2.500                   0.710         937.440            
       0.715           2.500                   0.715         929.880            
       0.720           2.500                   0.720         922.320            
       0.725           2.500                   0.725         918.540            
       0.730           2.500                   0.730         914.760            
       0.735           2.500                   0.735         899.640            
       0.740          12.500                   0.740         892.080            
       0.745           2.500                   0.745         884.520            
       0.750           5.000                   0.750         880.000            
       0.755           0.000                   0.755         862.400            
       0.760           2.480                   0.760         844.800            
       0.765           5.000                   0.765         830.720            
       0.770           5.000                   0.770         809.600            
       0.775           2.480                   0.775         795.520            
       0.780           2.480                   0.780         777.920            
       0.785           2.480                   0.785         760.320            
       0.790           5.000                   0.790         739.200            
       0.795           0.000                   0.795         721.600            
       0.800          10.000                   0.800         704.000            
       0.805           2.480                   0.805         696.960            
       0.810           5.000                   0.810         672.320            
       0.815           2.480                   0.815         665.280            
       0.820           2.480                   0.820         651.200            
       0.825           5.000                   0.825         650.000            
       0.830          10.000                   0.830         637.000            
       0.835           2.480                   0.835         626.600            
       0.840           2.480                   0.840         624.000            
       0.845           5.000                   0.845         618.800            
       0.850           2.480                   0.850         608.400            
       0.855           2.480                   0.855         595.400            
       0.860           5.000                   0.860         590.200            
       0.865          10.000                   0.865         592.800            
       0.870           7.480                   0.870         587.600            
       0.875           5.000                   0.875         590.200            
       0.880           0.000                   0.880         590.200            
       0.885           5.000                   0.885         595.400            
       0.890           7.480                   0.890         613.600            
       0.895           2.480                   0.895         626.600            
       0.900          10.000                   0.900         640.940            
       0.905           5.000                   0.905         658.500            
       0.910           5.000                   0.910         676.060            
       0.915           0.000                   0.915         698.010            
       0.920          12.500                   0.920         724.350            
       0.925           2.500                   0.925         763.860            
       0.930           7.500                   0.930         790.200            
       0.935           5.000                   0.935         820.930            
       0.940           2.500                   0.940         856.050            
       0.945           5.000                   0.945         899.950            
       0.950           7.500                   0.950         935.070            
       0.955           5.000                   0.955         970.190            
       0.960           7.500                   0.960        1014.090            
       0.965           5.000                   0.965        1053.600            
       0.970           2.500                   0.970        1097.500            
       0.975           9.960                   0.975        1146.480            
       0.980           9.960                   0.980        1174.580            
       0.985           4.980                   0.985        1208.300            
       0.990           7.500                   0.990        1242.020            
       0.995           7.500                   0.995        1275.740            
       1.000           7.500                   1.000        1309.460            
       1.005           2.460                   1.005        1326.320            
       1.010           2.460                   1.010        1348.800            
       1.015          15.000                   1.015        1365.660            
       1.020           7.500                   1.020        1382.520            
       1.025           7.500                   1.025        1393.760            
