File: squat   12.05.20  04:21:00
Comment: squat
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000         432.500                   0.000         389.360            
       0.005         418.660                   0.005         389.360            
       0.010         422.120                   0.010         389.360            
       0.015         418.660                   0.015         386.220            
       0.020         422.120                   0.020         392.500            
       0.025         422.120                   0.025         389.360            
       0.030         422.120                   0.030         392.500            
       0.035         422.120                   0.035         389.360            
       0.040         423.850                   0.040         389.360            
       0.045         422.120                   0.045         389.360            
       0.050         422.120                   0.050         389.360            
       0.055         416.930                   0.055         389.360            
       0.060         422.120                   0.060         392.500            
       0.065         418.660                   0.065         384.650            
       0.070         418.660                   0.070         384.650            
       0.075         427.500                   0.075         396.800            
       0.080         418.950                   0.080         387.200            
       0.085         418.950                   0.085         392.000            
       0.090         427.500                   0.090         396.800            
       0.095         424.080                   0.095         388.800            
       0.100         418.950                   0.100         388.800            
       0.105         417.240                   0.105         392.000            
       0.110         418.950                   0.110         393.600            
       0.115         418.950                   0.115         393.600            
       0.120         422.370                   0.120         393.600            
       0.125         418.950                   0.125         400.000            
       0.130         417.240                   0.130         393.600            
       0.135         413.820                   0.135         393.600            
       0.140         418.950                   0.140         392.000            
       0.145         418.950                   0.145         393.600            
       0.150         425.000                   0.150         400.000            
       0.155         414.800                   0.155         393.600            
       0.160         416.500                   0.160         396.800            
       0.165         414.800                   0.165         396.800            
       0.170         414.800                   0.170         393.600            
       0.175         416.500                   0.175         392.000            
       0.180         414.800                   0.180         392.000            
       0.185         411.400                   0.185         396.800            
       0.190         411.400                   0.190         396.800            
       0.195         414.800                   0.195         392.000            
       0.200         411.400                   0.200         396.800            
       0.205         416.500                   0.205         393.600            
       0.210         411.400                   0.210         393.600            
       0.215         414.800                   0.215         400.000            
       0.220         411.400                   0.220         393.600            
       0.225         419.120                   0.225         399.280            
       0.230         422.500                   0.230         394.450            
       0.235         417.430                   0.235         396.060            
       0.240         417.430                   0.240         394.450            
       0.245         414.050                   0.245         399.280            
       0.250         417.430                   0.250         394.450            
       0.255         408.980                   0.255         399.280            
       0.260         419.120                   0.260         389.620            
       0.265         412.360                   0.265         399.280            
       0.270         414.050                   0.270         402.500            
       0.275         414.050                   0.275         399.280            
       0.280         412.360                   0.280         399.280            
       0.285         412.360                   0.285         396.060            
       0.290         414.050                   0.290         399.280            
       0.295         414.050                   0.295         399.280            
       0.300         420.000                   0.300         402.500            
       0.305         411.600                   0.305         394.450            
       0.310         411.600                   0.310         394.450            
       0.315         409.920                   0.315         399.280            
       0.320         411.600                   0.320         402.500            
       0.325         416.640                   0.325         396.060            
       0.330         411.600                   0.330         402.500            
       0.335         411.600                   0.335         396.060            
       0.340         409.920                   0.340         396.060            
       0.345         409.920                   0.345         399.280            
       0.350         409.920                   0.350         402.500            
       0.355         411.600                   0.355         399.280            
       0.360         406.560                   0.360         402.500            
       0.365         411.600                   0.365         402.500            
       0.370         406.560                   0.370         402.500            
       0.375         422.500                   0.375         407.500            
       0.380         412.360                   0.380         399.350            
       0.385         419.120                   0.385         400.980            
       0.390         412.360                   0.390         404.240            
       0.395         408.980                   0.395         407.500            
       0.400         407.290                   0.400         399.350            
       0.405         407.290                   0.405         404.240            
       0.410         407.290                   0.410         404.240            
       0.415         412.360                   0.415         400.980            
       0.420         407.290                   0.420         407.500            
       0.425         408.980                   0.425         400.980            
       0.430         407.290                   0.430         399.350            
       0.435         408.980                   0.435         399.350            
       0.440         402.220                   0.440         404.240            
       0.445         408.980                   0.445         391.200            
       0.450         412.500                   0.450         407.500            
       0.455         409.200                   0.455         396.090            
       0.460         405.900                   0.460         399.350            
       0.465         405.900                   0.465         400.980            
       0.470         400.950                   0.470         396.090            
       0.475         405.900                   0.475         407.500            
       0.480         400.950                   0.480         400.980            
       0.485         404.250                   0.485         404.240            
       0.490         399.300                   0.490         396.090            
       0.495         400.950                   0.495         400.980            
       0.500         404.250                   0.500         400.980            
       0.505         400.950                   0.505         407.500            
       0.510         400.950                   0.510         400.980            
       0.515         396.000                   0.515         407.500            
       0.520         399.300                   0.520         400.980            
       0.525         405.000                   0.525         410.000            
       0.530         398.520                   0.530         401.800            
       0.535         398.520                   0.535         403.440            
       0.540         401.760                   0.540         401.800            
       0.545         398.520                   0.545         401.800            
       0.550         396.900                   0.550         403.440            
       0.555         398.520                   0.555         403.440            
       0.560         396.900                   0.560         401.800            
       0.565         401.760                   0.565         398.520            
       0.570         401.760                   0.570         401.800            
       0.575         405.000                   0.575         406.720            
       0.580         398.520                   0.580         406.720            
       0.585         398.520                   0.585         410.000            
       0.590         398.520                   0.590         406.720            
       0.595         398.520                   0.595         403.440            
       0.600         400.000                   0.600         412.490            
       0.605         393.600                   0.605         404.140            
       0.610         396.800                   0.610         407.480            
       0.615         396.800                   0.615         409.150            
       0.620         400.000                   0.620         412.490            
       0.625         396.800                   0.625         412.490            
       0.630         393.600                   0.630         417.500            
       0.635         396.800                   0.635         409.150            
       0.640         393.600                   0.640         417.500            
       0.645         396.800                   0.645         412.490            
       0.650         393.600                   0.650         412.490            
       0.655         393.600                   0.655         414.160            
       0.660         392.000                   0.660         414.160            
       0.665         393.600                   0.665         412.490            
       0.670         392.000                   0.670         407.480            
       0.675         397.500                   0.675         412.500            
       0.680         391.140                   0.680         412.500            
       0.685         391.140                   0.685         409.200            
       0.690         391.140                   0.690         412.500            
       0.695         391.140                   0.695         412.500            
       0.700         389.550                   0.700         405.900            
       0.705         391.140                   0.705         405.900            
       0.710         384.780                   0.710         412.500            
       0.715         384.780                   0.715         405.900            
       0.720         386.370                   0.720         405.900            
       0.725         384.780                   0.725         412.500            
       0.730         386.370                   0.730         412.500            
       0.735         384.780                   0.735         404.250            
       0.740         389.550                   0.740         409.200            
       0.745         384.780                   0.745         409.200            
       0.750         390.000                   0.750         420.000            
       0.755         383.760                   0.755         409.920            
       0.760         383.760                   0.760         411.600            
       0.765         383.760                   0.765         409.920            
       0.770         386.880                   0.770         409.920            
       0.775         383.760                   0.775         409.920            
       0.780         390.000                   0.780         414.960            
       0.785         386.880                   0.785         411.600            
       0.790         383.760                   0.790         414.960            
       0.795         386.880                   0.795         411.600            
       0.800         383.760                   0.800         416.640            
       0.805         386.880                   0.805         411.600            
       0.810         386.880                   0.810         414.960            
       0.815         386.880                   0.815         416.640            
       0.820         386.880                   0.820         416.640            
       0.825         395.000                   0.825         418.950            
       0.830         387.100                   0.830         413.820            
       0.835         382.360                   0.835         413.820            
       0.840         387.100                   0.840         417.240            
       0.845         387.100                   0.845         422.370            
       0.850         383.940                   0.850         417.240            
       0.855         383.940                   0.855         418.950            
       0.860         388.680                   0.860         424.080            
       0.865         383.940                   0.865         418.950            
       0.870         387.100                   0.870         427.500            
       0.875         387.100                   0.875         418.950            
       0.880         387.100                   0.880         422.370            
       0.885         391.840                   0.885         418.950            
       0.890         391.840                   0.890         424.080            
       0.895         388.680                   0.895         417.240            
       0.900         396.060                   0.900         421.600            
       0.905         394.450                   0.905         421.600            
       0.910         394.450                   0.910         421.600            
       0.915         391.230                   0.915         419.900            
       0.920         391.230                   0.920         419.900            
       0.925         402.500                   0.925         419.900            
       0.930         394.450                   0.930         421.600            
       0.935         399.280                   0.935         425.000            
       0.940         396.060                   0.940         419.900            
       0.945         399.280                   0.945         421.600            
       0.950         402.500                   0.950         421.600            
       0.955         399.280                   0.955         421.600            
       0.960         402.500                   0.960         421.600            
       0.965         402.500                   0.965         425.000            
       0.970         399.280                   0.970         425.000            
       0.975         407.500                   0.975         427.500            
       0.980         404.240                   0.980         422.370            
       0.985         407.500                   0.985         413.820            
       0.990         399.350                   0.990         422.370            
       0.995         399.350                   0.995         424.080            
       1.000         396.090                   1.000         424.080            
       1.005         394.460                   1.005         418.950            
       1.010         396.090                   1.010         418.950            
       1.015         394.460                   1.015         418.950            
       1.020         394.460                   1.020         418.950            
       1.025         389.570                   1.025         418.950            
       1.030         386.310                   1.030         422.370            
       1.035         389.570                   1.035         413.820            
       1.040         384.680                   1.040         417.240            
       1.045         384.680                   1.045         418.950            
       1.050         387.500                   1.050         425.000            
       1.055         376.650                   1.055         419.900            
       1.060         381.300                   1.060         425.000            
       1.065         381.300                   1.065         416.500            
       1.070         376.650                   1.070         416.500            
       1.075         372.000                   1.075         419.900            
       1.080         376.650                   1.080         425.000            
       1.085         372.000                   1.085         421.600            
       1.090         368.900                   1.090         421.600            
       1.095         367.350                   1.095         425.000            
       1.100         372.000                   1.100         425.000            
       1.105         364.250                   1.105         425.000            
       1.110         372.000                   1.110         421.600            
       1.115         367.350                   1.115         421.600            
       1.120         364.250                   1.120         421.600            
       1.125         367.500                   1.125         417.500            
       1.130         358.680                   1.130         414.160            
       1.135         357.210                   1.135         409.150            
       1.140         351.330                   1.140         409.150            
       1.145         343.980                   1.145         417.500            
       1.150         346.920                   1.150         412.490            
       1.155         339.570                   1.155         409.150            
       1.160         339.570                   1.160         407.480            
       1.165         339.570                   1.165         407.480            
       1.170         332.220                   1.170         402.470            
       1.175         329.280                   1.175         402.470            
       1.180         326.340                   1.180         397.460            
       1.185         321.930                   1.185         397.460            
       1.190         311.640                   1.190         397.460            
       1.195         316.050                   1.195         394.120            
       1.200         317.500                   1.200         395.000            
       1.205         307.340                   1.205         383.940            
       1.210         302.260                   1.210         382.360            
       1.215         299.720                   1.215         374.460            
       1.220         294.640                   1.220         376.040            
       1.225         284.480                   1.225         374.460            
       1.230         276.860                   1.230         371.300            
       1.235         271.780                   1.235         366.560            
       1.240         271.780                   1.240         364.980            
       1.245         269.240                   1.245         366.560            
       1.250         269.240                   1.250         358.660            
       1.255         269.240                   1.255         357.080            
       1.260         266.700                   1.260         364.980            
       1.265         264.160                   1.265         357.080            
       1.270         269.240                   1.270         353.920            
       1.275         277.200                   1.275         357.500            
       1.280         274.680                   1.280         348.920            
       1.285         282.240                   1.285         348.920            
       1.290         284.760                   1.290         351.780            
       1.295         287.280                   1.295         348.920            
       1.300         297.360                   1.300         347.490            
       1.305         299.880                   1.305         347.490            
       1.310         307.440                   1.310         341.770            
       1.315         307.440                   1.315         344.630            
       1.320         309.960                   1.320         338.910            
       1.325         312.480                   1.325         337.480            
       1.330         312.480                   1.330         331.760            
       1.335         309.960                   1.335         331.760            
       1.340         315.000                   1.340         324.610            
       1.345         312.480                   1.345         327.470            
       1.350         314.400                   1.350         331.350            
       1.355         311.780                   1.355         324.300            
       1.360         314.400                   1.360         331.350            
       1.365         317.020                   1.365         324.300            
       1.370         319.640                   1.370         327.120            
       1.375         319.640                   1.375         327.120            
       1.380         324.880                   1.380         334.170            
       1.385         319.640                   1.385         334.170            
       1.390         322.260                   1.390         339.810            
       1.395         324.880                   1.395         341.220            
       1.400         324.880                   1.400         341.220            
       1.405         327.500                   1.405         346.860            
       1.410         322.260                   1.410         349.680            
       1.415         327.500                   1.415         349.680            
       1.420         324.880                   1.420         352.500            
       1.425         327.180                   1.425         358.680            
       1.430         324.520                   1.430         362.340            
       1.435         316.540                   1.435         362.340            
       1.440         324.520                   1.440         369.660            
       1.445         321.860                   1.445         371.490            
       1.450         329.840                   1.450         384.300            
       1.455         327.180                   1.455         391.620            
       1.460         327.180                   1.460         406.260            
       1.465         332.500                   1.465         411.750            
       1.470         321.860                   1.470         419.070            
       1.475         329.840                   1.475         428.220            
       1.480         324.520                   1.480         437.370            
       1.485         319.200                   1.485         444.690            
       1.490         321.860                   1.490         452.010            
       1.495         324.520                   1.495         457.500            
       1.500         329.120                   1.500         462.500            
       1.505         323.680                   1.505         456.950            
       1.510         323.680                   1.510         453.250            
       1.515         322.320                   1.515         453.250            
       1.520         326.400                   1.520         453.250            
       1.525         340.000                   1.525         451.400            
       1.530         329.120                   1.530         451.400            
       1.535         331.840                   1.535         451.400            
       1.540         331.840                   1.540         445.850            
       1.545         334.560                   1.545         449.550            
       1.550         334.560                   1.550         444.000            
       1.555         331.840                   1.555         453.250            
       1.560         331.840                   1.560         451.400            
       1.565         334.560                   1.565         449.550            
       1.570         329.120                   1.570         458.800            
       1.575         331.800                   1.575         461.160            
       1.580         326.200                   1.580         461.160            
       1.585         326.200                   1.585         468.720            
       1.590         324.800                   1.590         459.270            
       1.595         326.200                   1.595         472.500            
       1.600         324.800                   1.600         466.830            
       1.605         329.000                   1.605         468.720            
       1.610         326.200                   1.610         466.830            
       1.615         334.600                   1.615         464.940            
       1.620         331.800                   1.620         461.160            
       1.625         337.400                   1.625         466.830            
       1.630         337.400                   1.630         459.270            
       1.635         344.400                   1.635         457.380            
       1.640         350.000                   1.640         461.160            
       1.645         350.000                   1.645         464.940            
       1.650         351.330                   1.650         466.560            
       1.655         349.860                   1.655         458.880            
       1.660         354.270                   1.660         460.800            
       1.665         357.210                   1.665         466.560            
       1.670         351.330                   1.670         468.480            
       1.675         357.210                   1.675         472.320            
       1.680         358.680                   1.680         468.480            
       1.685         351.330                   1.685         476.160            
       1.690         357.210                   1.690         476.160            
       1.695         358.680                   1.695         480.000            
       1.700         361.620                   1.700         474.240            
       1.705         358.680                   1.705         474.240            
       1.710         364.560                   1.710         476.160            
       1.715         367.500                   1.715         472.320            
       1.720         364.560                   1.720         466.560            
       1.725         371.280                   1.725         475.000            
       1.730         366.600                   1.730         471.200            
       1.735         369.720                   1.735         467.400            
       1.740         371.280                   1.740         469.300            
       1.745         371.280                   1.745         467.400            
       1.750         374.400                   1.750         461.700            
       1.755         374.400                   1.755         461.700            
       1.760         375.960                   1.760         467.400            
       1.765         382.200                   1.765         467.400            
       1.770         383.760                   1.770         467.400            
       1.775         375.960                   1.775         467.400            
       1.780         383.760                   1.780         475.000            
       1.785         382.200                   1.785         471.200            
       1.790         390.000                   1.790         467.400            
       1.795         383.760                   1.795         471.200            
       1.800         390.980                   1.800         477.240            
       1.805         389.250                   1.805         463.660            
       1.810         390.980                   1.810         463.660            
       1.815         396.170                   1.815         463.660            
       1.820         401.360                   1.820         465.600            
       1.825         399.630                   1.825         465.600            
       1.830         406.550                   1.830         463.660            
       1.835         406.550                   1.835         465.600            
       1.840         411.740                   1.840         469.480            
       1.845         411.740                   1.845         473.360            
       1.850         423.850                   1.850         473.360            
       1.855         422.120                   1.855         479.180            
       1.860         423.850                   1.860         477.240            
       1.865         427.310                   1.865         481.120            
       1.870         432.500                   1.870         485.000            
       1.875         440.750                   1.875         492.840            
       1.880         436.650                   1.880         492.840            
       1.885         440.750                   1.885         497.280            
       1.890         448.950                   1.890         501.720            
       1.895         451.000                   1.895         503.940            
       1.900         453.050                   1.900         506.160            
       1.905         463.300                   1.905         512.820            
       1.910         469.450                   1.910         519.480            
       1.915         473.550                   1.915         521.700            
       1.920         479.700                   1.920         530.580            
       1.925         483.800                   1.925         530.580            
       1.930         492.000                   1.930         532.800            
       1.935         496.100                   1.935         541.680            
       1.940         506.350                   1.940         546.120            
       1.945         512.500                   1.945         555.000            
       1.950         521.020                   1.950         560.690            
       1.955         521.020                   1.955         560.690            
       1.960         532.970                   1.960         568.100            
       1.965         537.750                   1.965         573.040            
       1.970         544.920                   1.970         577.980            
       1.975         544.920                   1.975         585.390            
       1.980         561.650                   1.980         590.330            
       1.985         561.650                   1.985         590.330            
       1.990         568.820                   1.990         595.270            
       1.995         573.600                   1.995         600.210            
       2.000         580.770                   2.000         605.150            
       2.005         585.550                   2.005         607.620            
       2.010         587.940                   2.010         607.620            
       2.015         592.720                   2.015         610.090            
       2.020         597.500                   2.020         617.500            
       2.025         602.700                   2.025         617.460            
       2.030         605.160                   2.030         622.480            
       2.035         607.620                   2.035         627.500            
       2.040         607.620                   2.040         622.480            
       2.045         607.620                   2.045         624.990            
       2.050         615.000                   2.050         619.970            
       2.055         610.080                   2.055         619.970            
       2.060         610.080                   2.060         624.990            
       2.065         615.000                   2.065         622.480            
       2.070         610.080                   2.070         619.970            
       2.075         610.080                   2.075         617.460            
       2.080         607.620                   2.080         612.440            
       2.085         602.700                   2.085         607.420            
       2.090         602.700                   2.090         609.930            
       2.095         607.620                   2.095         604.910            
       2.100         602.500                   2.100         605.000            
       2.105         590.450                   2.105         595.320            
       2.110         590.450                   2.110         590.480            
       2.115         588.040                   2.115         588.060            
       2.120         580.810                   2.120         583.220            
       2.125         575.990                   2.125         583.220            
       2.130         571.170                   2.130         578.380            
       2.135         571.170                   2.135         568.700            
       2.140         568.760                   2.140         566.280            
       2.145         561.530                   2.145         556.600            
       2.150         554.300                   2.150         556.600            
       2.155         551.890                   2.155         551.760            
       2.160         547.070                   2.160         546.920            
       2.165         542.250                   2.165         537.240            
       2.170         530.200                   2.170         539.660            
       2.175         535.000                   2.175         537.500            
       2.180         526.440                   2.180         522.450            
       2.185         517.880                   2.185         516.000            
       2.190         511.460                   2.190         513.850            
       2.195         502.900                   2.195         511.700            
       2.200         498.620                   2.200         500.950            
       2.205         492.200                   2.205         503.100            
       2.210         487.920                   2.210         498.800            
       2.215         487.920                   2.215         488.050            
       2.220         483.640                   2.220         488.050            
       2.225         477.220                   2.225         485.900            
       2.230         472.940                   2.230         479.450            
       2.235         468.660                   2.235         473.000            
       2.240         466.520                   2.240         468.700            
       2.245         455.820                   2.245         466.550            
       2.250         465.000                   2.250         467.500            
       2.255         448.260                   2.255         458.150            
       2.260         446.400                   2.260         456.280            
       2.265         444.540                   2.265         454.410            
       2.270         438.960                   2.270         450.670            
       2.275         440.820                   2.275         446.930            
       2.280         437.100                   2.280         443.190            
       2.285         433.380                   2.285         439.450            
       2.290         429.660                   2.290         433.840            
       2.295         424.080                   2.295         431.970            
       2.300         418.500                   2.300         428.230            
       2.305         418.500                   2.305         418.880            
       2.310         414.780                   2.310         420.750            
       2.315         414.780                   2.315         418.880            
       2.320         411.060                   2.320         413.270            
       2.325         412.500                   2.325         415.000            
       2.330         405.900                   2.330         408.360            
       2.335         400.950                   2.335         401.720            
       2.340         396.000                   2.340         398.400            
       2.345         394.350                   2.345         398.400            
       2.350         391.050                   2.350         393.420            
       2.355         391.050                   2.355         393.420            
       2.360         386.100                   2.360         391.760            
       2.365         391.050                   2.365         391.760            
       2.370         381.150                   2.370         386.780            
       2.375         381.150                   2.375         381.800            
       2.380         376.200                   2.380         378.480            
       2.385         371.250                   2.385         373.500            
       2.390         376.200                   2.390         381.800            
