File: ulsf1   13.11.19  02:47:41
Comment: ulsf1
                    P1V325-L                                P1V322-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000         514.650                   0.000           0.000            
       0.005         512.460                   0.005           0.000            
       0.010         516.840                   0.010           0.000            
       0.015         519.030                   0.015           0.000            
       0.020         521.220                   0.020           0.000            
       0.025         525.600                   0.025           0.000            
       0.030         525.600                   0.030           0.000            
       0.035         532.170                   0.035           0.000            
       0.040         534.360                   0.040           0.000            
       0.045         534.360                   0.045           0.000            
       0.050         538.740                   0.050           0.000            
       0.055         538.740                   0.055           0.000            
       0.060         547.500                   0.060           0.000            
       0.065         538.740                   0.065           0.000            
       0.070         536.550                   0.070           0.000            
       0.075         541.200                   0.075           0.000            
       0.080         536.800                   0.080           0.000            
       0.085         541.200                   0.085           0.000            
       0.090         541.200                   0.090           0.000            
       0.095         536.800                   0.095           0.000            
       0.100         541.200                   0.100           0.000            
       0.105         541.200                   0.105           0.000            
       0.110         541.200                   0.110           0.000            
       0.115         543.400                   0.115           0.000            
       0.120         541.200                   0.120           0.000            
       0.125         541.200                   0.125           0.000            
       0.130         545.600                   0.130           0.000            
       0.135         545.600                   0.135           0.000            
       0.140         543.400                   0.140           0.000            
       0.145         550.000                   0.145           0.000            
       0.150         552.500                   0.150           0.000            
       0.155         545.870                   0.155           0.000            
       0.160         543.660                   0.160           0.000            
       0.165         545.870                   0.165           0.000            
       0.170         545.870                   0.170           0.000            
       0.175         545.870                   0.175           0.000            
       0.180         541.450                   0.180           0.000            
       0.185         541.450                   0.185           0.000            
       0.190         543.660                   0.190           0.000            
       0.195         543.660                   0.195           0.000            
       0.200         543.660                   0.200           0.000            
       0.205         552.500                   0.205           0.000            
       0.210         545.870                   0.210           0.000            
       0.215         539.240                   0.215           0.000            
       0.220         545.870                   0.220           0.000            
       0.225         548.080                   0.225           0.000            
       0.230         543.660                   0.230           0.000            
       0.235         541.450                   0.235           0.000            
       0.240         543.660                   0.240           0.000            
       0.245         545.870                   0.245           0.000            
       0.250         543.660                   0.250           0.000            
       0.255         545.870                   0.255           0.000            
       0.260         552.500                   0.260           0.000            
       0.265         545.870                   0.265           0.000            
       0.270         548.080                   0.270           0.000            
       0.275         548.080                   0.275           0.000            
       0.280         545.870                   0.280           0.000            
       0.285         545.870                   0.285           0.000            
       0.290         548.080                   0.290           0.000            
       0.295         543.660                   0.295           0.000            
       0.300         550.000                   0.300           0.000            
       0.305         545.600                   0.305           0.000            
       0.310         541.200                   0.310           0.000            
       0.315         541.200                   0.315           0.000            
       0.320         541.200                   0.320           0.000            
       0.325         543.400                   0.325           0.000            
       0.330         536.800                   0.330           0.000            
       0.335         539.000                   0.335           0.000            
       0.340         536.800                   0.340           0.000            
       0.345         534.600                   0.345           0.000            
       0.350         536.800                   0.350           0.000            
       0.355         534.600                   0.355           0.000            
       0.360         536.800                   0.360           0.000            
       0.365         539.000                   0.365           0.000            
       0.370         534.600                   0.370           0.000            
       0.375         542.500                   0.375           0.000            
       0.380         535.990                   0.380           0.000            
       0.385         542.500                   0.385           0.000            
       0.390         535.990                   0.390           0.000            
       0.395         535.990                   0.395           0.000            
       0.400         533.820                   0.400           0.000            
       0.405         535.990                   0.405           0.000            
       0.410         535.990                   0.410           0.000            
       0.415         535.990                   0.415           0.000            
       0.420         535.990                   0.420           0.000            
       0.425         535.990                   0.425           0.000            
       0.430         535.990                   0.430           0.000            
       0.435         535.990                   0.435           0.000            
       0.440         535.990                   0.440           0.000            
       0.445         531.650                   0.445           0.000            
       0.450         540.000                   0.450           0.000            
       0.455         531.360                   0.455           0.000            
       0.460         531.360                   0.460           0.000            
       0.465         529.200                   0.465           0.000            
       0.470         531.360                   0.470           0.000            
       0.475         529.200                   0.475           0.000            
       0.480         524.880                   0.480           0.000            
       0.485         527.040                   0.485           0.000            
       0.490         524.880                   0.490           0.000            
       0.495         524.880                   0.495           0.000            
       0.500         520.560                   0.500           0.000            
       0.505         518.400                   0.505           0.000            
       0.510         520.560                   0.510           0.000            
       0.515         518.400                   0.515           0.000            
       0.520         518.400                   0.520           0.000            
       0.525         525.000                   0.525           0.000            
       0.530         518.700                   0.530           0.000            
       0.535         518.700                   0.535           0.000            
       0.540         516.600                   0.540           0.000            
       0.545         525.000                   0.545           0.000            
       0.550         518.700                   0.550           0.000            
       0.555         518.700                   0.555           0.000            
       0.560         518.700                   0.560           0.000            
       0.565         516.600                   0.565           0.000            
       0.570         520.800                   0.570           0.000            
       0.575         520.800                   0.575           0.000            
       0.580         516.600                   0.580           0.000            
       0.585         518.700                   0.585           0.000            
       0.590         516.600                   0.590           0.000            
       0.595         518.700                   0.595           0.000            
       0.600         520.000                   0.600           0.000            
       0.605         515.840                   0.605           0.000            
       0.610         515.840                   0.610           0.000            
       0.615         520.000                   0.615           0.000            
       0.620         515.840                   0.620           0.000            
       0.625         515.840                   0.625           0.000            
       0.630         515.840                   0.630           0.000            
       0.635         520.000                   0.635           0.000            
       0.640         515.840                   0.640           0.000            
       0.645         515.840                   0.645           0.000            
       0.650         515.840                   0.650           0.000            
       0.655         515.840                   0.655           0.000            
       0.660         520.000                   0.660           0.000            
       0.665         520.000                   0.665           0.000            
       0.670         520.000                   0.670           0.000            
       0.675         523.980                   0.675           0.000            
       0.680         523.980                   0.680           0.000            
       0.685         521.850                   0.685           0.000            
       0.690         521.850                   0.690           0.000            
       0.695         528.240                   0.695           0.000            
       0.700         528.240                   0.700           0.000            
       0.705         528.240                   0.705           0.000            
       0.710         532.500                   0.710           0.000            
       0.715         532.500                   0.715           0.000            
       0.720         532.500                   0.720           0.000            
       0.725         532.500                   0.725           0.000            
       0.730         532.500                   0.730           0.000            
       0.735         528.240                   0.735           0.000            
       0.740         528.240                   0.740           0.000            
       0.745         532.500                   0.745           0.000            
       0.750         535.000                   0.750           0.000            
       0.755         526.440                   0.755           0.000            
       0.760         524.300                   0.760           0.000            
       0.765         526.440                   0.765           0.000            
       0.770         526.440                   0.770           0.000            
       0.775         524.300                   0.775           0.000            
       0.780         522.160                   0.780           0.000            
       0.785         522.160                   0.785           0.000            
       0.790         522.160                   0.790           0.000            
       0.795         524.300                   0.795           0.000            
       0.800         522.160                   0.800           0.000            
       0.805         524.300                   0.805           0.000            
       0.810         524.300                   0.810           0.000            
       0.815         524.300                   0.815           0.000            
       0.820         522.160                   0.820           0.000            
       0.825         527.500                   0.825           0.000            
       0.830         523.280                   0.830           0.000            
       0.835         523.280                   0.835           0.000            
       0.840         519.060                   0.840           0.000            
       0.845         519.060                   0.845           0.000            
       0.850         521.170                   0.850           0.000            
       0.855         521.170                   0.855           0.000            
       0.860         516.950                   0.860           0.000            
       0.865         519.060                   0.865           0.000            
       0.870         519.060                   0.870           0.000            
       0.875         516.950                   0.875           0.000            
       0.880         519.060                   0.880           0.000            
       0.885         523.280                   0.885           0.000            
       0.890         523.280                   0.890           0.000            
       0.895         521.170                   0.895           0.000            
       0.900         530.000                   0.900           0.000            
       0.905         523.640                   0.905           0.000            
       0.910         530.000                   0.910           0.000            
       0.915         523.640                   0.915           0.000            
       0.920         525.760                   0.920           0.000            
       0.925         525.760                   0.925           0.000            
       0.930         523.640                   0.930           0.000            
       0.935         521.520                   0.935           0.000            
       0.940         521.520                   0.940           0.000            
       0.945         519.400                   0.945           0.000            
       0.950         517.280                   0.950           0.000            
       0.955         517.280                   0.955           0.000            
       0.960         513.040                   0.960           0.000            
       0.965         510.920                   0.965           0.000            
       0.970         508.800                   0.970           0.000            
       0.975         512.500                   0.975           0.000            
       0.980         506.350                   0.980           0.000            
       0.985         508.400                   0.985           0.000            
       0.990         508.400                   0.990           0.000            
       0.995         508.400                   0.995           0.000            
       1.000         508.400                   1.000           0.000            
       1.005         512.500                   1.005           0.000            
       1.010         508.400                   1.010           0.000            
       1.015         512.500                   1.015           0.000            
       1.020         512.500                   1.020           0.000            
       1.025         508.400                   1.025           0.000            
       1.030         512.500                   1.030           0.000            
       1.035         506.350                   1.035           0.000            
       1.040         508.400                   1.040           0.000            
       1.045         506.350                   1.045           0.000            
       1.050         508.510                   1.050           0.000            
       1.055         502.180                   1.055           0.000            
       1.060         497.960                   1.060           0.000            
       1.065         502.180                   1.065           0.000            
       1.070         502.180                   1.070           0.000            
       1.075         504.290                   1.075           0.000            
       1.080         502.180                   1.080           0.000            
       1.085         506.400                   1.085           0.000            
       1.090         510.620                   1.090           0.000            
       1.095         510.620                   1.095           0.000            
       1.100         516.950                   1.100           0.000            
       1.105         519.060                   1.105           0.000            
       1.110         519.060                   1.110           0.000            
       1.115         527.500                   1.115           0.000            
       1.120         521.170                   1.120           0.000            
       1.125         533.520                   1.125           0.000            
       1.130         531.050                   1.130           0.000            
       1.135         535.990                   1.135           0.000            
       1.140         538.460                   1.140           0.000            
       1.145         545.870                   1.145           0.000            
       1.150         553.280                   1.150           0.000            
       1.155         558.220                   1.155           0.000            
       1.160         563.160                   1.160           0.000            
       1.165         570.570                   1.165           0.000            
       1.170         582.920                   1.170           0.000            
       1.175         587.860                   1.175           0.000            
       1.180         592.800                   1.180           0.000            
       1.185         600.210                   1.185           0.000            
       1.190         602.680                   1.190           0.000            
       1.195         617.500                   1.195           0.000            
       1.200         634.340                   1.200           0.000            
       1.205         634.340                   1.205           0.000            
       1.210         647.220                   1.210           0.000            
       1.215         656.880                   1.215           0.000            
       1.220         669.760                   1.220           0.000            
       1.225         685.860                   1.225           0.000            
       1.230         698.740                   1.230           0.000            
       1.235         705.180                   1.235           0.000            
       1.240         724.500                   1.240           0.000            
       1.245         737.380                   1.245           0.000            
       1.250         747.040                   1.250           0.000            
       1.255         769.580                   1.255           0.000            
       1.260         779.240                   1.260           0.000            
       1.265         792.120                   1.265           0.000            
       1.270         805.000                   1.270           0.000            
       1.275         816.480                   1.275           0.000            
       1.280         819.840                   1.280           0.000            
       1.285         826.560                   1.285           0.000            
       1.290         833.280                   1.290           0.000            
       1.295         840.000                   1.295           0.000            
       1.300         836.640                   1.300           0.000            
       1.305         840.000                   1.305           0.000            
       1.310         836.640                   1.310           0.000            
       1.315         829.920                   1.315           0.000            
       1.320         826.560                   1.320           0.000            
       1.325         813.120                   1.325           0.000            
       1.330         799.680                   1.330           0.000            
       1.335         779.520                   1.335           0.000            
       1.340         769.440                   1.340           0.000            
       1.345         739.200                   1.345           0.000            
       1.350         722.500                   1.350           0.000            
       1.355         693.600                   1.355           0.000            
       1.360         658.920                   1.360           0.000            
       1.365         630.020                   1.365           0.000            
       1.370         592.450                   1.370           0.000            
       1.375         551.990                   1.375           0.000            
       1.380         517.310                   1.380           0.000            
       1.385         471.070                   1.385           0.000            
       1.390         424.830                   1.390           0.000            
       1.395         369.920                   1.395           0.000            
       1.400         315.010                   1.400           0.000            
       1.405         257.210                   1.405           0.000            
       1.410         202.300                   1.410           0.000            
       1.415         161.840                   1.415           0.000            
       1.420         124.270                   1.420           0.000            
       1.425         102.500                   1.425           0.000            
       1.430          89.790                   1.430           0.000            
       1.435          84.870                   1.435           0.000            
       1.440          77.490                   1.440           0.000            
       1.445          77.490                   1.445           0.000            
       1.450          74.620                   1.450           0.000            
       1.455          74.620                   1.455           0.000            
       1.460          74.620                   1.460           0.000            
       1.465          72.160                   1.465           0.000            
       1.470          49.610                   1.470           0.000            
       1.475          49.610                   1.475           0.000            
       1.480          49.610                   1.480           0.000            
       1.485          47.150                   1.485           0.000            
       1.490          49.610                   1.490           0.000            
       1.495          47.150                   1.495           0.000            
       1.500          47.500                   1.500           0.000            
       1.505          47.500                   1.505           0.000            
       1.510          44.840                   1.510           0.000            
       1.515          44.840                   1.515           0.000            
       1.520          39.900                   1.520           0.000            
       1.525          47.500                   1.525           0.000            
       1.530          42.370                   1.530           0.000            
       1.535          39.900                   1.535           0.000            
       1.540          39.900                   1.540           0.000            
       1.545          37.430                   1.545           0.000            
       1.550          34.960                   1.550           0.000            
       1.555          34.960                   1.555           0.000            
       1.560          32.490                   1.560           0.000            
       1.565          29.830                   1.565           0.000            
       1.570          32.490                   1.570           0.000            
       1.575          32.480                   1.575           0.000            
       1.580          29.960                   1.580           0.000            
       1.585          27.440                   1.585           0.000            
       1.590          29.960                   1.590           0.000            
       1.595          32.480                   1.595           0.000            
       1.600          27.440                   1.600           0.000            
       1.605          24.920                   1.605           0.000            
       1.610          29.960                   1.610           0.000            
       1.615          29.960                   1.615           0.000            
       1.620          32.480                   1.620           0.000            
       1.625          32.480                   1.625           0.000            
       1.630          35.000                   1.630           0.000            
       1.635          32.480                   1.635           0.000            
       1.640          24.920                   1.640           0.000            
       1.645          32.480                   1.645           0.000            
       1.650          37.620                   1.650           0.000            
       1.655         219.450                   1.655           0.000            
       1.660         526.680                   1.660           0.000            
       1.665         608.190                   1.665           0.000            
       1.670         614.460                   1.670           0.000            
       1.675         677.160                   1.675           0.000            
       1.680         783.750                   1.680           0.000            
       1.685         909.150                   1.685           0.000            
       1.690        1022.010                   1.690           0.000            
       1.695        1304.160                   1.695           0.000            
       1.700        1529.880                   1.700           0.000            
       1.705        1567.500                   1.705           0.000            
       1.710        1511.070                   1.710           0.000            
       1.715        1423.290                   1.715           0.000            
       1.720        1304.160                   1.720           0.000            
       1.725        1205.000                   1.725           0.000            
       1.730        1113.420                   1.730           0.000            
       1.735        1065.220                   1.735           0.000            
       1.740        1045.940                   1.740           0.000            
       1.745        1026.660                   1.745           0.000            
       1.750        1012.200                   1.750           0.000            
       1.755        1007.380                   1.755           0.000            
       1.760         992.920                   1.760           0.000            
       1.765         983.280                   1.765           0.000            
       1.770         983.280                   1.770           0.000            
       1.775         988.100                   1.775           0.000            
       1.780         988.100                   1.780           0.000            
       1.785         988.100                   1.785           0.000            
       1.790         997.740                   1.790           0.000            
       1.795        1002.560                   1.795           0.000            
       1.800        1022.500                   1.800           0.000            
       1.805        1014.320                   1.805           0.000            
