File: ul1   18.02.20  02:58:30
Comment: ul1
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000         884.000                   0.000         260.000            
       0.005         892.000                   0.005         244.400            
       0.010         904.000                   0.010         231.920            
       0.015         920.000                   0.015         217.360            
       0.020         932.000                   0.020         204.880            
       0.025         936.000                   0.025         196.560            
       0.030         952.000                   0.030         182.000            
       0.035         948.000                   0.035         174.720            
       0.040         960.000                   0.040         162.240            
       0.045         968.000                   0.045         159.120            
       0.050         972.000                   0.050         142.480            
       0.055         976.000                   0.055         134.160            
       0.060         992.000                   0.060         121.680            
       0.065         992.000                   0.065         116.480            
       0.070        1000.000                   0.070         114.400            
       0.075        1003.450                   0.075         110.000            
       0.080        1003.450                   0.080         102.080            
       0.085        1016.260                   0.085          97.240            
       0.090        1024.800                   0.090          92.400            
       0.095        1024.800                   0.095          82.280            
       0.100        1024.800                   0.100          77.440            
       0.105        1033.340                   0.105          74.800            
       0.110        1033.340                   0.110          67.320            
       0.115        1037.610                   0.115          39.600            
       0.120        1041.880                   0.120          37.400            
       0.125        1041.880                   0.125          39.600            
       0.130        1041.880                   0.130          37.400            
       0.135        1050.420                   0.135          39.600            
       0.140        1058.960                   0.140          34.760            
       0.145        1067.500                   0.145          32.120            
       0.150        1084.160                   0.150          40.000            
       0.155        1079.680                   0.155          37.440            
       0.160        1084.160                   0.160          34.880            
       0.165        1093.120                   0.165          37.440            
       0.170        1102.080                   0.170          32.480            
       0.175        1102.080                   0.175          34.880            
       0.180        1102.080                   0.180          34.880            
       0.185        1111.040                   0.185          34.880            
       0.190        1120.000                   0.190          32.480            
       0.195        1115.520                   0.195          32.480            
       0.200        1115.520                   0.200          37.440            
       0.205        1120.000                   0.205          32.480            
       0.210        1106.560                   0.210          37.440            
       0.215        1102.080                   0.215          29.920            
       0.220        1097.600                   0.220          32.480            
       0.225        1100.000                   0.225          37.500            
       0.230        1095.600                   0.230          30.000            
       0.235        1082.400                   0.235          32.400            
       0.240        1082.400                   0.240          37.500            
       0.245        1078.000                   0.245          32.400            
       0.250        1073.600                   0.250          27.450            
       0.255        1069.200                   0.255          30.000            
       0.260        1069.200                   0.260          27.450            
       0.265        1069.200                   0.265          34.950            
       0.270        1069.200                   0.270          30.000            
       0.275        1069.200                   0.275          27.450            
       0.280        1064.800                   0.280          27.450            
       0.285        1064.800                   0.285          27.450            
       0.290        1064.800                   0.290          30.000            
       0.295        1064.800                   0.295          24.900            
       0.300        1074.060                   0.300          35.000            
       0.305        1065.220                   0.305          29.960            
       0.310        1069.640                   0.310          27.440            
       0.315        1069.640                   0.315          29.960            
       0.320        1078.480                   0.320          24.920            
       0.325        1087.320                   0.325          24.920            
       0.330        1087.320                   0.330          27.440            
       0.335        1087.320                   0.335          29.960            
       0.340        1087.320                   0.340          24.920            
       0.345        1091.740                   0.345          29.960            
       0.350        1096.160                   0.350          22.400            
       0.355        1096.160                   0.355          27.440            
       0.360        1096.160                   0.360          27.440            
       0.365        1105.000                   0.365          22.400            
       0.370        1100.580                   0.370          19.880            
       0.375        1106.560                   0.375          30.000            
       0.380        1102.080                   0.380          24.960            
       0.385        1106.560                   0.385          19.920            
       0.390        1106.560                   0.390          22.440            
       0.395        1106.560                   0.395          22.440            
       0.400        1106.560                   0.400          22.440            
       0.405        1106.560                   0.405          24.960            
       0.410        1106.560                   0.410          19.920            
       0.415        1111.040                   0.415          17.400            
       0.420        1106.560                   0.420          22.440            
       0.425        1106.560                   0.425          22.440            
       0.430        1115.520                   0.430          17.400            
       0.435        1111.040                   0.435          22.440            
       0.440        1111.040                   0.440          22.440            
       0.445        1120.000                   0.445          24.960            
       0.450        1117.500                   0.450          27.500            
       0.455        1108.560                   0.455          22.440            
       0.460        1108.560                   0.460          17.490            
       0.465        1104.090                   0.465          17.490            
       0.470        1104.090                   0.470          17.490            
       0.475        1104.090                   0.475          14.960            
       0.480        1099.620                   0.480          14.960            
       0.485        1095.150                   0.485          19.910            
       0.490        1090.680                   0.490          19.910            
       0.495        1086.210                   0.495          19.910            
       0.500        1086.210                   0.500          19.910            
       0.505        1081.740                   0.505          24.970            
       0.510        1081.740                   0.510          17.490            
       0.515        1081.740                   0.515          14.960            
       0.520        1081.740                   0.520          19.910            
       0.525        1087.500                   0.525          27.500            
       0.530        1078.800                   0.530          17.490            
       0.535        1087.500                   0.535          22.440            
       0.540        1083.150                   0.540          17.490            
       0.545        1078.800                   0.545          14.960            
       0.550        1078.800                   0.550          17.490            
       0.555        1078.800                   0.555          14.960            
       0.560        1078.800                   0.560           9.900            
       0.565        1078.800                   0.565          14.960            
       0.570        1078.800                   0.570          12.430            
       0.575        1078.800                   0.575          12.430            
       0.580        1078.800                   0.580          17.490            
       0.585        1078.800                   0.585          14.960            
       0.590        1078.800                   0.590          14.960            
       0.595        1078.800                   0.595          12.430            
       0.600        1095.000                   0.600          20.000            
       0.605        1081.860                   0.605          14.960            
       0.610        1086.240                   0.610          14.960            
