File: ursf1   13.11.19  02:45:06
Comment: ursf1
                    P1V325-L                                P1V322-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000           0.000                   0.000         490.000            
       0.005           0.000                   0.005         484.120            
       0.010           0.000                   0.010         482.160            
       0.015           0.000                   0.015         484.120            
       0.020           0.000                   0.020         484.120            
       0.025           0.000                   0.025         484.120            
       0.030           0.000                   0.030         482.160            
       0.035           0.000                   0.035         484.120            
       0.040           0.000                   0.040         484.120            
       0.045           0.000                   0.045         484.120            
       0.050           0.000                   0.050         484.120            
       0.055           0.000                   0.055         478.240            
       0.060           0.000                   0.060         478.240            
       0.065           0.000                   0.065         478.240            
       0.070           0.000                   0.070         482.160            
       0.075           0.000                   0.075         492.500            
       0.080           0.000                   0.080         480.680            
       0.085           0.000                   0.085         484.620            
       0.090           0.000                   0.090         478.710            
       0.095           0.000                   0.095         480.680            
       0.100           0.000                   0.100         480.680            
       0.105           0.000                   0.105         480.680            
       0.110           0.000                   0.110         484.620            
       0.115           0.000                   0.115         480.680            
       0.120           0.000                   0.120         492.500            
       0.125           0.000                   0.125         478.710            
       0.130           0.000                   0.130         480.680            
       0.135           0.000                   0.135         484.620            
       0.140           0.000                   0.140         486.590            
       0.145           0.000                   0.145         486.590            
       0.150           0.000                   0.150         490.000            
       0.155           0.000                   0.155         484.120            
       0.160           0.000                   0.160         484.120            
       0.165           0.000                   0.165         482.160            
       0.170           0.000                   0.170         484.120            
       0.175           0.000                   0.175         484.120            
       0.180           0.000                   0.180         482.160            
       0.185           0.000                   0.185         482.160            
       0.190           0.000                   0.190         482.160            
       0.195           0.000                   0.195         476.280            
       0.200           0.000                   0.200         482.160            
       0.205           0.000                   0.205         484.120            
       0.210           0.000                   0.210         476.280            
       0.215           0.000                   0.215         478.240            
       0.220           0.000                   0.220         482.160            
       0.225           0.000                   0.225         483.120            
       0.230           0.000                   0.230         487.080            
       0.235           0.000                   0.235         481.140            
       0.240           0.000                   0.240         477.180            
       0.245           0.000                   0.245         479.160            
       0.250           0.000                   0.250         481.140            
       0.255           0.000                   0.255         479.160            
       0.260           0.000                   0.260         483.120            
       0.265           0.000                   0.265         479.160            
       0.270           0.000                   0.270         483.120            
       0.275           0.000                   0.275         483.120            
       0.280           0.000                   0.280         487.080            
       0.285           0.000                   0.285         489.060            
       0.290           0.000                   0.290         495.000            
       0.295           0.000                   0.295         489.060            
       0.300           0.000                   0.300         497.500            
       0.305           0.000                   0.305         489.540            
       0.310           0.000                   0.310         491.530            
       0.315           0.000                   0.315         489.540            
       0.320           0.000                   0.320         489.540            
       0.325           0.000                   0.325         485.560            
       0.330           0.000                   0.330         485.560            
       0.335           0.000                   0.335         483.570            
