File: walk   12.05.20  04:19:35
Comment: walk
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       0.000         428.750                   0.000         384.000            
       0.005         427.000                   0.005         374.400            
       0.010         428.750                   0.010         382.400            
       0.015         428.750                   0.015         379.200            
       0.020         428.750                   0.020         387.200            
       0.025         428.750                   0.025         384.000            
       0.030         437.500                   0.030         379.200            
       0.035         432.250                   0.035         384.000            
       0.040         428.750                   0.040         387.200            
       0.045         427.000                   0.045         392.000            
       0.050         427.000                   0.050         388.800            
       0.055         428.750                   0.055         393.600            
       0.060         434.000                   0.060         400.000            
       0.065         428.750                   0.065         388.800            
       0.070         427.000                   0.070         396.800            
       0.075         435.000                   0.075         396.060            
       0.080         426.300                   0.080         394.450            
       0.085         426.300                   0.085         396.060            
       0.090         424.560                   0.090         402.500            
       0.095         424.560                   0.095         396.060            
       0.100         426.300                   0.100         391.230            
       0.105         419.340                   0.105         394.450            
       0.110         419.340                   0.110         394.450            
       0.115         419.340                   0.115         394.450            
       0.120         419.340                   0.120         396.060            
       0.125         421.080                   0.125         391.230            
       0.130         415.860                   0.130         394.450            
       0.135         424.560                   0.135         391.230            
       0.140         424.560                   0.140         384.790            
       0.145         424.560                   0.145         386.400            
       0.150         429.030                   0.150         392.500            
       0.155         429.030                   0.155         384.650            
       0.160         423.360                   0.160         376.800            
       0.165         429.030                   0.165         379.940            
       0.170         430.920                   0.170         379.940            
       0.175         429.030                   0.175         372.090            
       0.180         438.480                   0.180         361.100            
       0.185         444.150                   0.185         367.380            
       0.190         446.040                   0.190         359.530            
       0.195         446.040                   0.195         356.390            
       0.200         451.710                   0.200         348.540            
       0.205         457.380                   0.205         342.260            
       0.210         461.160                   0.210         335.980            
       0.215         466.830                   0.215         334.410            
       0.220         472.500                   0.220         326.560            
       0.225         483.000                   0.225         325.000            
       0.230         483.000                   0.230         322.400            
       0.235         489.300                   0.235         319.800            
       0.240         493.500                   0.240         312.000            
       0.245         493.500                   0.245         306.800            
       0.250         499.800                   0.250         304.200            
       0.255         501.900                   0.255         299.000            
       0.260         504.000                   0.260         296.400            
       0.265         508.200                   0.265         292.500            
       0.270         508.200                   0.270         289.900            
       0.275         514.500                   0.275         279.500            
       0.280         518.700                   0.280         276.900            
       0.285         518.700                   0.285         271.700            
       0.290         520.800                   0.290         269.100            
       0.295         525.000                   0.295         266.500            
       0.300         533.820                   0.300         267.500            
       0.305         527.310                   0.305         258.940            
       0.310         533.820                   0.310         258.940            
       0.315         533.820                   0.315         249.310            
       0.320         535.990                   0.320         254.660            
       0.325         531.650                   0.325         247.170            
       0.330         535.990                   0.330         249.310            
       0.335         533.820                   0.335         243.960            
       0.340         531.650                   0.340         243.960            
       0.345         542.500                   0.345         247.170            
       0.350         533.820                   0.350         241.820            
       0.355         533.820                   0.355         249.310            
       0.360         533.820                   0.360         247.170            
       0.365         529.480                   0.365         249.310            
       0.370         531.650                   0.370         251.450            
       0.375         535.000                   0.375         257.400            
       0.380         522.160                   0.380         261.300            
       0.385         524.300                   0.385         260.000            
       0.390         524.300                   0.390         263.900            
       0.395         513.600                   0.395         269.100            
       0.400         511.460                   0.400         279.500            
       0.405         511.460                   0.405         284.700            
       0.410         509.320                   0.410         287.300            
       0.415         502.900                   0.415         292.500            
       0.420         496.480                   0.420         292.500            
       0.425         494.340                   0.425         299.000            
       0.430         483.640                   0.430         306.800            
       0.435         481.500                   0.435         314.600            
       0.440         481.500                   0.440         317.200            
       0.445         466.520                   0.445         325.000            
       0.450         472.500                   0.450         336.720            
       0.455         457.380                   0.455         342.210            
       0.460         446.040                   0.460         345.870            
       0.465         438.480                   0.465         353.190            
       0.470         423.360                   0.470         362.340            
       0.475         421.470                   0.475         369.660            
       0.480         398.790                   0.480         376.980            
       0.485         396.900                   0.485         384.300            
       0.490         387.450                   0.490         391.620            
       0.495         376.110                   0.495         404.430            
       0.500         372.330                   0.500         413.580            
       0.505         357.210                   0.505         426.390            
       0.510         343.980                   0.510         437.370            
       0.515         334.530                   0.515         444.690            
       0.520         323.190                   0.520         457.500            
       0.525         322.500                   0.525         478.240            
       0.530         304.440                   0.530         480.680            
       0.535         296.700                   0.535         488.000            
       0.540         288.960                   0.540         500.200            
       0.545         281.220                   0.545         512.400            
       0.550         277.350                   0.550         527.040            
       0.555         264.450                   0.555         536.800            
       0.560         261.870                   0.560         546.560            
       0.565         246.390                   0.565         556.320            
       0.570         241.230                   0.570         563.640            
       0.575         229.620                   0.575         575.840            
       0.580         221.880                   0.580         583.160            
       0.585         211.560                   0.585         588.040            
       0.590         197.370                   0.590         597.800            
       0.595         181.890                   0.595         610.000            
       0.600         177.500                   0.600         631.090            
       0.605         154.780                   0.605         628.260            
       0.610         137.030                   0.610         642.410            
       0.615         127.090                   0.615         642.410            
       0.620         109.340                   0.620         653.730            
       0.625          99.400                   0.625         665.050            
       0.630          79.520                   0.630         665.050            
